x,y,z
-19.0,-16.0,-16.0
-19.0,-16.0,-14.8
-19.0,-16.0,-13.6
-19.0,-16.0,-12.4
-19.0,-16.0,-11.2
-19.0,-16.0,-10.1
-19.0,-16.0,-8.87
-19.0,-16.0,-7.68
-19.0,-16.0,-6.49
-19.0,-16.0,-5.3
-19.0,-16.0,-4.11
-19.0,-16.0,-2.92
-19.0,-16.0,-1.73
-19.0,-16.0,-0.54
-19.0,-16.0,0.65
-19.0,-16.0,1.83
-19.0,-16.0,3.02
-19.0,-16.0,4.21
-19.0,-16.0,5.4
-19.0,-16.0,6.59
-19.0,-16.0,7.78
-19.0,-16.0,8.97
-19.0,-16.0,10.2
-19.0,-16.0,11.3
-19.0,-16.0,12.5
-19.0,-16.0,13.7
-19.0,-16.0,14.9
-19.0,-16.0,16.1
-19.0,-16.0,17.3
-19.0,-16.0,18.5
-19.0,-16.0,19.7
-19.0,-16.0,20.9
-19.0,-15.0,-16.2
-19.0,-15.0,-15.0
-19.0,-15.0,-13.8
-19.0,-15.0,-12.6
-19.0,-15.0,-11.4
-19.0,-15.0,-10.2
-19.0,-15.0,-9.06
-19.0,-15.0,-7.87
-19.0,-15.0,-6.68
-19.0,-15.0,-5.49
-19.0,-15.0,-4.3
-19.0,-15.0,-3.11
-19.0,-15.0,-1.92
-19.0,-15.0,-0.73
-19.0,-15.0,0.46
-19.0,-15.0,1.64
-19.0,-15.0,2.83
-19.0,-15.0,4.02
-19.0,-15.0,5.21
-19.0,-15.0,6.4
-19.0,-15.0,7.59
-19.0,-15.0,8.78
-19.0,-15.0,9.97
-19.0,-15.0,11.2
-19.0,-15.0,12.3
-19.0,-15.0,13.5
-19.0,-15.0,14.7
-19.0,-15.0,15.9
-19.0,-15.0,17.1
-19.0,-15.0,18.3
-19.0,-15.0,19.5
-19.0,-15.0,20.7
-19.0,-14.0,-16.4
-19.0,-14.0,-15.2
-19.0,-14.0,-14.0
-19.0,-14.0,-12.8
-19.0,-14.0,-11.6
-19.0,-14.0,-10.4
-19.0,-14.0,-9.24
-19.0,-14.0,-8.06
-19.0,-14.0,-6.87
-19.0,-14.0,-5.68
-19.0,-14.0,-4.49
-19.0,-14.0,-3.3
-19.0,-14.0,-2.11
-19.0,-14.0,-0.92
-19.0,-14.0,0.27
-19.0,-14.0,1.46
